mean_M2_p2,mean_M4_p2,mean_M2_p4,mean_M4_p4,R22,R44_self,R44_cross,Q2,I4,identity_error,samples_p2,samples_p4,paired_samples,analysis_samples,n,R22_se,R22_ci_low,R22_ci_high,R44_self_se,R44_self_ci_low,R44_self_ci_high,R44_cross_se,R44_cross_ci_low,R44_cross_ci_high,Q2_se,Q2_ci_low,Q2_ci_high,I4_se,I4_ci_low,I4_ci_high,paired_Q2_sample_mean,paired_C44_sample_mean
0.0363149022799257,0.0023708758512104838,0.0373587369618849,0.0021886478207091575,1.7977903851548542,1.56816412426141,1.659610310911943,1.0287439760656114,0.07686105976754842,4.440892098500626e-16,200,200,200,200,16,0.022132053467748304,1.7558024858167367,1.8431938027921075,0.015325068586586029,1.5381872532666758,1.5988377020615931,0.016190352900957286,1.6284974290163419,1.6916482594248607,0.0025131329023681042,1.0240268658950062,1.0338333333566183,0.0070185873191539235,0.06344364580694052,0.09098800611388048,1.0286108051880876,1.6028280103946713
0.021089224866574958,0.0008176371276995821,0.021727424181029912,0.0007542263709329621,1.8383972800287547,1.597663181477857,1.6958228312726176,1.0302618668297505,0.07755366606825431,0.0,200,200,200,200,32,0.020447554556819746,1.7974902808055733,1.8796560912073836,0.01311380851524634,1.571900593302945,1.6234097993980654,0.015626716281338437,1.6655327721078854,1.7270318207798114,0.002041732340694983,1.0263565131868229,1.0343748778835082,0.005085064517897668,0.06770003883512156,0.08757178236977303,1.0287648505094635,1.6251782458835664
0.012507716486827566,0.00029666512256105803,0.012960722436084553,0.0002697666829460349,1.89631479963048,1.6059421318261193,1.7243771323759245,1.0362181178102388,0.09066936949923066,0.0,200,200,200,200,64,0.016786611173263563,1.8635732602177448,1.9278686027201473,0.010891680205898955,1.5846607278585911,1.626715888290848,0.011827192334800994,1.701447606213377,1.7471929266755728,0.0017359131980861611,1.0329723510128095,1.0396929341044776,0.003975906303801859,0.0827731098599073,0.09837663177151343,1.035197596034766,1.6546414976287678
0.006962055311905138,9.277401340223335e-05,0.007218949557794963,8.415513151383703e-05,1.9140417470500872,1.6148514902010471,1.7362236367592232,1.036899196340847,0.09290189754999678,4.440892098500626e-16,200,200,200,200,128,0.01029582344010219,1.8937056577068256,1.9338768618294864,0.007689348583523105,1.5996663994411509,1.6299021858368639,0.008046230498497148,1.72046616096741,1.7521586198733379,0.0011781448053657417,1.0346873049693486,1.0392409120381676,0.003030578851004922,0.08692588325900762,0.09875861039212101,1.0364112626107345,1.6876389237312606
0.00391803684692629,2.9309705799763896e-05,0.004064114964339669,2.6516063231089982e-05,1.9093011195992202,1.605377148271482,1.7273168676736306,1.037283497608752,0.0953145892271774,2.220446049250313e-16,200,200,200,200,256,0.010219291444952433,1.889786249601743,1.9296893506697346,0.005525219688345829,1.594630775266972,1.6159354829911754,0.0065019313698365016,1.714785816559469,1.7400649211957684,0.0008999993395217094,1.0355203958692842,1.0390025907657952,0.0027309127879176372,0.09015375593571968,0.10071900572601514,1.037237021673009,1.6948337607888313
0.0022246767799242746,9.601676560045717e-06,0.0023152263289898927,8.609818021694387e-06,1.9400513652640006,1.6062275363328022,1.739642978307453,1.0407023392713706,0.10330055716296782,0.0,200,200,200,200,512,0.00908238724980354,1.9226164708314448,1.9581974759909488,0.00528581790939384,1.5957628397370172,1.6164086841348377,0.006272977147224719,1.7270756517135915,1.7519260331485933,0.0006400169434288204,1.0394701028213784,1.0419963120582088,0.0019634420922337603,0.09951019809650895,0.10722998712485346,1.0405480635917836,1.704607800574953
0.0011959433415053137,2.792544021328118e-06,0.0012454760030475099,2.5050478346653645e-06,1.952445039982948,1.6148987364272736,1.7514381805112238,1.0414172309198613,0.10295135348520734,2.220446049250313e-16,200,200,200,200,1024,0.0062592179290717415,1.9405295239030735,1.9647629870811048,0.003925934202256994,1.607066326341694,1.6226660468098577,0.004445177490024086,1.7427660579718205,1.7603802510190307,0.0005030996724404732,1.040447863861016,1.0424060758805302,0.0012380536934109019,0.10059574522976245,0.10539965351698273,1.0411683078272258,1.7249553547412344
0.000649540135653823,8.265080224876731e-07,0.000676988294871508,7.407458857623244e-07,1.959002950298856,1.6162440102598956,1.7557281189630263,1.0422578339828927,0.10376443348634012,2.220446049250313e-16,200,200,200,200,2048,0.005275377256217662,1.9487138422167125,1.9691529366746523,0.00356339869825666,1.6092327693612802,1.6231880697768994,0.004105762203375036,1.7475487502372673,1.7636452125841529,0.0003588461457742188,1.0415672971712382,1.0429816428937408,0.0008189313086116706,0.10214330896183288,0.1053741664203099,1.0421198909889093,1.7310944621116706
0.0003582620908728296,2.5273796076277443e-07,0.0003737822453491375,2.2572057302811104e-07,1.9691044999434633,1.6155998605907052,1.7586095683372935,1.0433206718536598,0.1068988119280686,4.440892098500626e-16,200,200,200,200,4096,0.004566334011790103,1.960214560613833,1.9781781601018091,0.002898244802002277,1.6100608429039667,1.6213726824608181,0.0033581131943493984,1.7521665686560621,1.7652699452957332,0.00027030854984394075,1.0427915865238377,1.0438604710733823,0.0007848876691475079,0.10537816206269142,0.1084194813925137,1.0431684832729644,1.7373325983916184
0.00018915294322126,7.150963961698544e-08,0.00019773557920128997,6.348991317383326e-08,1.998657523636601,1.6238095544176547,1.7745103082546587,1.0453740546346695,0.11214888630549447,-2.220446049250313e-16,10,10,10,10,8192,0.017058399857555678,1.9663372795560645,2.0325691053649337,0.011961148472290628,1.600290569639347,1.6471792703500556,0.01212681121920396,1.7517827890467863,1.798858955042031,0.0011198102865993622,1.0431083770160914,1.0475066723461484,0.0022405179329424143,0.10780420693149241,0.11655889677488601,1.045274683640451,1.7660102467788588
